,type,price,amount,time,balance,reason
0,BUY,0.80434123,99.49011317000348,2025-10-09 18:00:00,-0.06401199999979212,
1,SELL,0.8171547800000001,,2025-10-09 22:00:00,81.19416012883971,SIGNAL_FLIP
2,BUY,0.81614477,99.5148426631198,2025-10-10 04:00:00,-0.064967507226811,
3,SELL,0.8210536100000001,,2025-10-10 05:00:00,81.60119979950115,SIGNAL_FLIP
4,BUY,0.8121435699999999,100.50646606663524,2025-10-10 09:00:00,-0.06529320001955341,
5,SELL,0.8180545100000001,,2025-10-10 12:00:00,82.11336476602838,SIGNAL_FLIP
6,BUY,0.61788531,132.93405336899528,2025-10-10 22:00:00,-0.0657030088175361,
7,SELL,0.6437068300000001,,2025-10-11 00:00:00,85.46206980534265,TP
8,BUY,0.6316894499999999,135.33186034100152,2025-10-11 01:00:00,-0.06838247515453588,
9,SELL,0.66510041,,2025-10-11 02:00:00,89.89588868580888,TP
10,BUY,0.64709407,138.9641191618625,2025-10-11 03:00:00,-0.07193019533190181,
11,SELL,0.65740272,,2025-10-11 04:00:00,91.23778202912092,SIGNAL_FLIP
12,BUY,0.64669395,141.12572626314142,2025-10-11 05:00:00,-0.07300391129058426,
13,SELL,0.67159846,,2025-10-11 08:00:00,94.6594266032044,TP
14,BUY,0.66639986,142.0886019261549,2025-10-11 09:00:00,-0.07574174019653412,
15,SELL,0.66729975,,2025-10-11 10:00:00,94.69253895870456,SIGNAL_FLIP
16,BUY,0.6214863899999999,152.4103314963853,2025-10-12 01:00:00,-0.07576823504741981,
17,SELL,0.64240722,,2025-10-12 04:00:00,97.78477437214598,TP
18,BUY,0.64669395,151.25255123301775,2025-10-12 05:00:00,-0.0782424872138705,
19,SELL,0.64750569,,2025-10-12 12:00:00,97.80967661940645,SIGNAL_FLIP
20,BUY,0.66039806,148.1515853065835,2025-10-12 14:00:00,-0.07826241274700863,
21,SELL,0.68689387,,2025-10-12 16:00:00,101.63527115723835,TP
22,BUY,0.68810637,147.74715969943017,2025-10-12 18:00:00,-0.08132346221611897,
23,SELL,0.70988697,,2025-10-13 02:00:00,104.75001817115592,TP
24,BUY,0.7033109299999999,148.9831007981166,2025-10-13 03:00:00,-0.08381572703949303,
25,SELL,0.72568223,,2025-10-13 08:00:00,107.9765158980428,TP
26,BUY,0.7062118,152.9412406487856,2025-10-13 11:00:00,-0.08639740919562655,
27,SELL,0.7227831,,2025-10-13 13:00:00,110.40167495276265,SIGNAL_FLIP
28,BUY,0.70541156,156.55370810091125,2025-10-13 14:00:00,-0.0883379002134177,
29,SELL,0.7247825,,2025-10-13 17:00:00,113.32231634746448,SIGNAL_FLIP
30,BUY,0.72161642,157.0866597552876,2025-10-13 18:00:00,-0.09067485142541898,
31,SELL,0.7327801,,2025-10-13 20:00:00,114.96174840359814,SIGNAL_FLIP
32,BUY,0.73081918,157.35251629290738,2025-10-13 21:00:00,-0.09198664298513393,
33,SELL,0.73158046,,2025-10-13 22:00:00,114.96648159561168,SIGNAL_FLIP
34,BUY,0.67250169,171.00473240459866,2025-10-14 10:00:00,-0.091990430248714,
35,SELL,0.6762970500000001,,2025-10-14 11:00:00,115.50018063299015,SIGNAL_FLIP
36,BUY,0.66850049,172.82684517879719,2025-10-14 12:00:00,-0.09241746953350116,
37,SELL,0.69529135,,2025-10-14 15:00:00,120.01251052582309,TP
38,BUY,0.69580868,172.53092370014775,2025-10-14 16:00:00,-0.09602801029691932,
39,SELL,0.7009896400000001,,2025-10-14 18:00:00,120.78589088809042,SIGNAL_FLIP
40,BUY,0.6942081999999999,174.04307044393428,2025-10-14 19:00:00,-0.09664683059406798,
41,SELL,0.69539132,,2025-10-14 21:00:00,120.87087964201996,SIGNAL_FLIP
42,BUY,0.67140136,180.08176347142424,2025-10-15 16:00:00,-0.09671483434553352,
43,SELL,0.6726981300000001,,2025-10-16 02:00:00,120.98338036721672,SIGNAL_FLIP
44,BUY,0.63749119,189.8374083904227,2025-10-16 20:00:00,-0.09680485180048493,
45,SELL,0.6444066199999999,,2025-10-16 21:00:00,122.17451159728623,SIGNAL_FLIP
46,BUY,0.6381914,191.49609968226682,2025-10-16 22:00:00,-0.09775793545456679,
47,SELL,0.6495050900000001,,2025-10-17 00:00:00,124.21774467759576,SIGNAL_FLIP
48,BUY,0.64839446,191.63490385312522,2025-10-17 01:00:00,-0.09939282840377928,
49,SELL,0.6514045199999999,,2025-10-17 03:00:00,124.67003381000755,SIGNAL_FLIP
50,BUY,0.59777928,208.61786112785734,2025-10-17 08:00:00,-0.09975472755306214,
51,SELL,0.6165149900000001,,2025-10-17 11:00:00,128.4519758202258,TP
52,BUY,0.61688501,208.2892424521255,2025-10-17 12:00:00,-0.10278084845253943,
53,SELL,0.6213135500000001,,2025-10-17 13:00:00,129.2454413419609,SIGNAL_FLIP
54,BUY,0.62508747,206.8257982748613,2025-10-17 16:00:00,-0.10341573988966957,
55,SELL,0.63201034,,2025-10-17 21:00:00,130.5472693270326,SIGNAL_FLIP
56,BUY,0.6244872899999999,209.10983393726193,2025-10-17 23:00:00,-0.10445739755201089,
57,SELL,0.63430965,,2025-10-18 01:00:00,132.46960798596257,SIGNAL_FLIP
58,BUY,0.6307891800000001,210.06915316517896,2025-10-18 08:00:00,-0.10599555682924233,
59,SELL,0.6352093799999999,,2025-10-18 09:00:00,133.26518203407952,SIGNAL_FLIP
60,BUY,0.6333899599999999,210.46301647833135,2025-10-18 22:00:00,-0.10663213540445327,
61,SELL,0.6338098,,2025-10-18 23:00:00,133.22019348493268,SIGNAL_FLIP
62,BUY,0.6286885499999999,211.9653038741968,2025-10-19 06:00:00,-0.10659613781692201,
63,SELL,0.64400674,,2025-10-19 10:00:00,136.33223466114336,SIGNAL_FLIP
64,BUY,0.65749719,207.4124975827527,2025-10-19 14:00:00,-0.1090862375640711,
65,SELL,0.6596020600000001,,2025-10-19 15:00:00,136.63221958242698,SIGNAL_FLIP
66,BUY,0.65729713,207.9321558095069,2025-10-19 21:00:00,-0.10932627049885468,
67,SELL,0.65800254,,2025-10-19 22:00:00,136.6421504564973,SIGNAL_FLIP
68,BUY,0.64549359,211.749806999066,2025-10-20 01:00:00,-0.10933421668775622,
69,SELL,0.66719978,,2025-10-20 05:00:00,141.09945071580916,TP
70,BUY,0.63999194,220.53680949641893,2025-10-21 04:00:00,-0.11290072548990793,
71,SELL,0.6737978000000001,,2025-10-21 14:00:00,148.41001772368747,TP
72,BUY,0.62978888,235.72112090801605,2025-10-22 10:00:00,-0.11875027568103746,
73,SELL,0.6394081199999999,,2025-10-22 14:00:00,150.52788748902412,SIGNAL_FLIP
74,BUY,0.6271881,240.07637558058073,2025-10-22 18:00:00,-0.12044488917433682,
75,SELL,0.64220728,,2025-10-23 06:00:00,153.9812618666119,SIGNAL_FLIP
76,BUY,0.63929173,240.9345358576309,2025-10-23 07:00:00,-0.12320810668254012,
77,SELL,0.6394081199999999,,2025-10-23 10:00:00,153.8552627598099,SIGNAL_FLIP
78,BUY,0.6408922100000001,240.1361990944434,2025-10-23 22:00:00,-0.12310728849726615,
79,SELL,0.64430665,,2025-10-24 00:00:00,154.52088201878547,SIGNAL_FLIP
80,BUY,0.64049209,241.32575670589642,2025-10-24 03:00:00,-0.12363988374733026,
81,SELL,0.65110461,,2025-10-24 08:00:00,156.92610866284878,SIGNAL_FLIP
82,BUY,0.65039506,241.35052085950258,2025-10-24 11:00:00,-0.1255644258463633,
83,SELL,0.65390377,,2025-10-24 12:00:00,157.61554104790528,SIGNAL_FLIP
84,BUY,0.64489341,244.47889103134057,2025-10-24 15:00:00,-0.126116075169449,
85,SELL,0.6577026300000001,,2025-10-24 21:00:00,160.58789633082128,SIGNAL_FLIP
86,BUY,0.6504950899999999,246.94432774230552,2025-10-25 10:00:00,-0.12849440524908573,
87,SELL,0.65510341,,2025-10-25 12:00:00,161.5646897433008,SIGNAL_FLIP
88,BUY,0.65439626,246.9652854529208,2025-10-25 17:00:00,-0.12927598649807237,
89,SELL,0.6576026600000001,,2025-10-25 18:00:00,162.19455014068123,SIGNAL_FLIP
90,BUY,0.64779428,250.4548334476239,2025-10-26 03:00:00,-0.12977996929504343,
91,SELL,0.67289807,,2025-10-26 11:00:00,168.31652879275802,TP
92,BUY,0.67510247,249.39476780672382,2025-10-26 14:00:00,-0.1346784705134212,
93,SELL,0.6751973800000001,,2025-10-26 18:00:00,168.17181999139046,SIGNAL_FLIP
94,BUY,0.68440526,245.7933645007163,2025-10-27 03:00:00,-0.13456268176574326,
95,SELL,0.68559426,,2025-10-27 06:00:00,168.29569990608925,SIGNAL_FLIP
96,BUY,0.66639986,252.62038412802346,2025-10-27 22:00:00,-0.13466180427982977,
97,SELL,0.66929915,,2025-10-28 01:00:00,168.859407261095,SIGNAL_FLIP
98,BUY,0.66309887,254.72832593316485,2025-10-28 07:00:00,-0.13511285471994938,
99,SELL,0.66520038,,2025-10-28 09:00:00,169.2255436631814,SIGNAL_FLIP
100,BUY,0.64299284,263.2631357547937,2025-10-28 20:00:00,-0.1354058187620808,
101,SELL,0.6476056600000001,,2025-10-28 22:00:00,170.27004561699866,SIGNAL_FLIP
102,BUY,0.64299284,264.8880610096432,2025-10-29 00:00:00,-0.13624157700041906,
103,SELL,0.6507047300000001,,2025-10-29 12:00:00,172.14149068539325,SIGNAL_FLIP
104,BUY,0.63889161,269.5185387277163,2025-10-29 15:00:00,-0.13773901377106768,
105,SELL,0.6557032300000001,,2025-10-29 17:00:00,176.4980752866783,SIGNAL_FLIP
106,BUY,0.64669395,273.00553021914664,2025-10-29 18:00:00,-0.1412249349405954,
107,SELL,0.6528041,,2025-10-29 21:00:00,177.9887949500674,SIGNAL_FLIP
108,BUY,0.6425927199999999,277.0684852896441,2025-10-30 01:00:00,-0.1424177342792632,
109,SELL,0.64730575,,2025-10-30 02:00:00,179.1159319256619,SIGNAL_FLIP
110,BUY,0.61028303,293.5845466737604,2025-10-30 13:00:00,-0.14331961292961637,
111,SELL,0.5942216800000001,,2025-10-30 18:00:00,174.22375578231748,SL
112,BUY,0.58767625,296.5510736720288,2025-10-30 19:00:00,-0.13940513818866407,
113,SELL,0.60701784,,2025-10-31 00:00:00,179.7823811557921,TP
114,BUY,0.60998294,294.8218779202888,2025-10-31 03:00:00,-0.14385287228176935,
115,SELL,0.6146155600000001,,2025-10-31 04:00:00,180.96765966914907,SIGNAL_FLIP
116,BUY,0.61088321,296.3282457330084,2025-10-31 07:00:00,-0.14480127288339872,
117,SELL,0.61051679,,2025-10-31 09:00:00,180.67811141367847,SIGNAL_FLIP
118,BUY,0.60468135,298.88852177614194,2025-10-31 18:00:00,-0.1445695908469986,
119,SELL,0.61071673,,2025-10-31 19:00:00,182.3003829524854,SIGNAL_FLIP
120,BUY,0.60608177,300.87536384301933,2025-11-01 01:00:00,-0.14586765141942237,
121,SELL,0.61191637,,2025-11-01 03:00:00,183.87263753359758,SIGNAL_FLIP
122,BUY,0.61028303,301.38114658842306,2025-11-01 06:00:00,-0.14712569092182548,
123,SELL,0.6158152,,2025-11-01 08:00:00,185.35516782612595,SIGNAL_FLIP
124,BUY,0.60708207,305.41302986674236,2025-11-01 14:00:00,-0.14831193753607863,
125,SELL,0.6122162800000001,,2025-11-01 16:00:00,186.73702765650557,SIGNAL_FLIP
126,BUY,0.61098324,305.72532360266126,2025-11-01 17:00:00,-0.149417632679274,
127,SELL,0.6122162800000001,,2025-11-01 23:00:00,186.9270176749793,SIGNAL_FLIP
128,BUY,0.60878258,307.1426514541231,2025-11-02 01:00:00,-0.14956965319260007,
129,SELL,0.61551529,,2025-11-02 04:00:00,188.80690302887035,SIGNAL_FLIP
130,BUY,0.60798234,310.6398536177517,2025-11-02 10:00:00,-0.15107384345768082,
